Hour;Temperature °C
444;-8.0763
445;-7.377
446;-6.7879
447;-6.9674
448;-7.4336
449;-7.8313
450;-8.1384
451;-8.3766
452;-8.7245
453;-9.1164
454;-9.5546
455;-10.075
456;-10.663
457;-11.324
458;-11.977
459;-12.244
460;-12.508
461;-12.767
462;-13.001
463;-13.237
464;-13.478
465;-13.03
466;-12.555
467;-12.055
468;-11.028
469;-10.009
470;-8.9774
471;-9.067
472;-9.2778
473;-9.5672
474;-9.6575
475;-9.7275
476;-9.7915
477;-9.2555
478;-8.666
479;-8.066
480;-7.828
481;-7.622
482;-7.4
483;-7.4
484;-7.4
485;-7.4
486;-7.5592
487;-7.7186
488;-7.8781
489;-8.6598
490;-9.4714
491;-10.312
492;-10.226
493;-10.108
494;-9.9457
495;-9.989
496;-10.089
497;-10.21
498;-11.031
499;-11.952
500;-12.846
501;-12.199
502;-11.301
503;-10.407
504;-9.766
505;-9.166
506;-8.522
507;-8.322
508;-8.122
509;-7.922
510;-7.4711
511;-7.0146
512;-6.5546
513;-6.3586
514;-6.1816
515;-6.0216
516;-5.4523
517;-4.866
518;-4.266
519;-4.2205
520;-4.2
521;-4.2
522;-4.6621
523;-5.145
524;-5.645
525;-5.6829
526;-5.7
527;-5.7
528;-6.3733
529;-7.1113
530;-7.9768
531;-7.3428
532;-6.7062
533;-6.0667
534;-6.5719
535;-7.134
536;-7.734
537;-7.5313
538;-7.2928
539;-7.0323
540;-6.733
541;-6.433
542;-6.3814
543;-7.1856
544;-8.4361
545;-9.4494
546;-10.029
547;-10.425
548;-10.864
549;-11.438
550;-12.065
551;-12.626
552;-13.052
553;-13.455
554;-13.855
555;-13.355
556;-12.855
557;-12.355
558;-12.434
559;-12.549
560;-12.688
561;-12.513
562;-12.322
563;-12.122
564;-11.114
565;-10.11
566;-9.0681
567;-8.989
568;-9.0987
569;-9.2698
570;-9.389
571;-9.4816
572;-9.5496
573;-9.4541
574;-9.303
575;-9.1684
576;-9.2459
577;-9.39
578;-9.622
579;-9.422
580;-9.222
581;-9.022
582;-8.757
583;-8.493
584;-8.232
585;-7.841
586;-7.444
587;-7.044
588;-6.644
589;-6.244
590;-5.844
591;-5.8119
592;-5.829
593;-5.89
594;-5.897
595;-5.9
596;-5.9
597;-5.808
598;-5.711
599;-5.611
600;-5.446
601;-5.311
602;-5.123
603;-5.823
604;-6.5518
605;-7.3132
606;-8.0202
607;-8.723
608;-9.423
609;-9.545
610;-9.6288
611;-9.6902
612;-9.789
613;-9.889
614;-9.989
615;-10.273
616;-10.567
617;-10.867
618;-11.519
619;-12.166
620;-12.823
621;-13.523
622;-14.223
623;-14.906
624;-15.539
625;-16.223
626;-17
627;-17
628;-17
629;-16.975
630;-16.887
631;-16.72
632;-16.399
633;-15.888
634;-15.088
635;-14.197
636;-13.245
637;-12.212
638;-11.363
639;-10.757
640;-10.524
641;-10.203
642;-9.844
643;-9.444
644;-8.8624
645;-8.1344
646;-7.201
647;-6.3916
648;-5.7684
649;-5.435
650;-5.044
651;-4.644
652;-4.307
653;-3.944
654;-3.544
655;-3.144
656;-2.772
657;-2.435
658;-2.133
659;-1.833
660;-1.533
661;-1.17
662;-0.91713
663;-0.80608
664;-0.8
665;-0.8
666;-0.8
667;-0.8
668;-0.85609
669;-0.98205
670;-1.178
671;-1.35
672;-1.487
673;-1.676
674;-1.7547
675;-2.0907
676;-2.4275
677;-2.7654
678;-2.8201
679;-2.8605
680;-2.8984
681;-2.9639
682;-3.0285
683;-3.0906
684;-2.9785
685;-2.8505
686;-2.7126
687;-2.5471
688;-2.3825
689;-2.2204
690;-1.7476
691;-1.255
692;-0.755
693;-0.73996
694;-0.76052
695;-0.79843
696;-0.82757
697;-0.88637
698;-0.867
699;-1.167
700;-1.467
701;-1.767
702;-1.9119
703;-2.0496
704;-2.1873
705;-2.1699
706;-2.1394
707;-2.1017
708;-1.7982
709;-1.4724
710;-1.1347
711;-0.92437
712;-0.722
713;-0.522
714;-0.322
715;-0.122
716;7.80E-02
717;9.53E-02
718;0.1
719;0.1
720;7.23E-02
721;1.38E-02
722;1.27E-02
723;-2.38E-02
724;-6.07E-02
725;-9.82E-02
726;-0.1635
727;-0.22828
728;-0.29078
729;-0.3255
730;-0.36072
731;-0.39822
732;-0.3365
733;-0.27172
734;-0.20922
735;-0.29356
736;-0.389
737;-0.489
738;-0.5255
739;-0.56072
740;-0.59822
741;-0.50872
742;-0.411
743;-0.311
744;-0.30228
745;-0.29698
746;-0.211
747;-0.111
748;6.13E-03
749;0.18363
750;0.346
751;0.53162
752;0.80241
753;1.213
754;1.6867
755;2.2095
756;3.09
757;4.09
758;4.8304
759;4.8236
760;4.3581
761;3.8931
762;3.6542
763;3.4007
764;3.0754
765;2.5982
766;2.0511
767;1.5285
768;1.222
769;1.022
770;0.844
771;0.444
772;4.40E-02
773;-0.34531
774;-0.22722
775;-0.10211
776;8.36E-02
777;0.24635
778;0.38944
779;0.58366
780;1.0458
781;1.6105
782;1.8197
783;1.4173
784;0.56897
785;-0.10494
786;-5.87E-02
787;0.167
788;0.41798
789;0.48142
790;0.5
791;0.58169
792;0.97596
793;1.445
794;1.9593
795;2.2674
796;2.6341
797;2.9372
798;3.1776
799;3.3109
800;3.5377
801;3.8564
802;4.3231
803;4.7858
804;5.245
805;5.8948
806;6.2501
807;6.4606
808;6.4983
809;6.4994
810;6.3639
811;6.1232
812;5.9463
813;5.9471
814;6.0938
815;6.2829
816;6.5089
817;6.7659
818;7.022
819;6.822
820;6.622
821;6.422
822;6.4041
823;6.4
824;6.4
825;6.6732
826;6.967
827;7.267
828;7.6581
829;8.056
830;8.456
831;8.2467
832;7.9939
833;7.731
834;7.5521
835;7.3829
836;7.22
837;6.8399
838;6.444
839;6.044
840;5.581
841;5.1404
842;4.5914
843;4.754
844;4.9169
845;5.0802
846;4.8235
847;4.533
848;4.233
849;3.399
850;2.588
851;1.7959
852;1.6119
853;1.6776
854;1.6398
855;1.344
856;0.944
857;0.56232
858;0.25811
859;2.48E-02
860;-0.207
861;-0.41411
862;-0.58078
863;-0.689
864;-0.81411
865;-0.98078
866;-1.0989
867;-1.278
868;-1.478
869;-1.678
870;-1.9101
871;-2.1363
872;-2.2491
873;-1.9229
874;-1.3745
875;-0.82605
876;-0.177
877;0.523
878;1.0821
879;1.2372
880;1.2035
881;0.94992
882;0.35734
883;-0.49318
884;-1.2108
885;-1.756
886;-2.159
887;-2.6284
888;-3.2537
889;-4.0109
890;-4.778
891;-4.978
892;-5.178
893;-5.391
894;-5.6064
895;-5.8875
896;-6.1686
897;-5.3202
898;-4.4453
899;-3.3513
900;-2.0694
901;-0.72702
902;0.4145
903;0.77268
904;0.73253
905;0.69919
906;0.57989
907;0.45219
908;0.3457
909;0.656
910;1.0517
911;1.4382
912;1.6201
913;1.7746
914;1.889
915;2.0026
916;2.1787
917;2.0964
918;1.7949
919;1.2561
920;0.96133
921;1.0632
922;1.5229
923;2.2998
924;3.4419
925;4.7625
926;6.322
927;6.122
928;5.922
929;5.7192
930;4.721
931;3.621
932;2.5894
933;2.5614
934;2.6948
935;2.6859
936;2.544
937;2.144
938;1.7642
939;1.5491
940;1.399
941;1.2438
942;1.2322
943;1.297
944;1.4338
945;2.1578
946;3.118
947;4.0962
948;5.0898
949;6.0552
950;6.7988
951;6.7276
952;6.2777
